ticker,exchange,sector,enabled,notes
MSFT,NASDAQ,Software / Cloud,1,"Weekend shortlist: strong Friday + AI/tech strength + unusual options + dark-pool participation"
CRDO,NASDAQ,Semiconductors / AI Data Center Connectivity,1,"Weekend shortlist: strong AI theme + unusual call activity + dark-pool participation + rising short interest"
SMCI,NASDAQ,AI Servers / Infrastructure,1,"Weekend shortlist: strong AI infrastructure activity + high off-exchange participation + high short interest"
QCOM,NASDAQ,Semiconductors,1,"Weekend shortlist: strong semiconductor activity + sector strength + institutional relevance"
AMAT,NASDAQ,Semiconductor Equipment,1,"Weekend shortlist: strong Friday + semiconductor sector strength + institutional relevance"
ORCL,NYSE,Software / Cloud,1,"Weekend shortlist: AI/cloud context + unusual options + dark-pool activity; price action needs confirmation"
WDC,NASDAQ,Data Storage / AI Infrastructure,1,"Weekend shortlist: AI infrastructure theme + positive Friday + unusual longer-dated options activity"
MRVL,NASDAQ,Semiconductors / Networking,1,"Weekend shortlist: semiconductor/networking strength + institutional relevance + notable options activity"
LRCX,NASDAQ,Semiconductor Equipment,1,"Weekend shortlist: strong semiconductor-equipment sector context + institutional relevance"
NXPI,NASDAQ,Semiconductors,1,"Weekend shortlist: strong Friday + semiconductor sector strength + institutional relevance"
AKAM,NASDAQ,Cloud / Cybersecurity,1,"OPEN POSITION - mandatory review until position is closed; elevated short interest"
WTTR,NYSE,Energy Services / Water,1,"OPEN POSITION - mandatory review until position is closed; rising short interest"
