ticker,exchange,sector,enabled,notes
NVDA,NASDAQ,Semiconductors,1,AI leader
MSFT,NASDAQ,Software / Cloud,1,Mega-cap cloud and AI
AMAT,NASDAQ,Semiconductor Equipment,1,Semi equipment leader
AAPL,NASDAQ,Technology Hardware,1,Mega-cap liquid
GOOGL,NASDAQ,Communication Services,1,Search cloud and AI
META,NASDAQ,Communication Services,1,Strong communication-services momentum
AMZN,NASDAQ,Consumer / Cloud,1,E-commerce and AWS
V,NYSE,Financial Services,1,Payments leader
LLY,NYSE,Healthcare,1,Pharma growth leader
JNJ,NYSE,Healthcare,1,Large healthcare leader
XOM,NYSE,Energy,1,Large energy leader
CVX,NYSE,Energy,1,Large integrated energy leader
CAT,NYSE,Industrials,1,Industrial bellwether
COST,NASDAQ,Consumer Staples,1,Quality retail
WMT,NYSE,Consumer Staples,1,Large defensive retailer
